"Country";"Type";"Year";"Number"
"VENEZUELA";"BC";NA;"621"
"AFGHANISTAN";"BC";NA;"280"
"AUSTRALIA";"BC";NA;"2601"
"AZERBAIDJAN";"BC";NA;"118"
"BAHRAIN";"BC";NA;"129"
"BANGLADESH";"BC";NA;"141"
"BRUNEI";"BC";NA;"10"
"CHINA";"BC";NA;"10272"
"GUAM";"BC";NA;"31"
"HONG-KONG";"BC";NA;"130"
"INDIA";"BC";NA;"2706"
"INDONESIA";"BC";NA;"3985.371"
"IRAN";"BC";NA;"860"
"IRAQ";"BC";NA;"1400"
"ISRAEL";"BC";NA;"250"
"JAPAN";"BC";NA;"18596"
"JORDAN";"BC";NA;"93"
"KAZAKHSTAN";"BC";NA;"347"
"KUWAIT";"BC";NA;"185"
"KYRGYZSTAN";"BC";NA;"228.607694543224"
"LEBANON";"BC";NA;"91"
"MALAYSIA";"BC";NA;"862.527"
"NEW CALEDONIA";"BC";NA;"23"
"NEW ZEALAND";"BC";NA;"414"
"OMAN";"BC";NA;"120"
"PAKISTAN";"BC";NA;"351.229"
"PALESTINE";"BC";NA;"132"
"PHILIPPINES";"BC";NA;"321.814"
"QATAR";"BC";NA;"125"
"SAUDI ARABIA";"BC";NA;"1420"
"SINGAPORE";"BC";NA;"152.592"
"SOUTH KOREA";"BC";NA;"4275"
"SRI LANKA";"BC";NA;"395"
"SYRIA";"BC";NA;"1420"
"TAIWAN";"BC";NA;"1018"
"THAILAND";"BC";NA;"5596"
"UNITED ARAB EMIRATES";"BC";NA;"69"
"VIETNAM";"BC";NA;"98"
"YEMEN";"BC";NA;"260"
"ALGERIA";"BC";NA;"1018"
"ANGOLA";"BC";NA;"59"
"BENIN";"BC";NA;"14"
"BOTSWANA";"BC";NA;"99"
"BURKINA FASO";"BC";NA;"37"
"BURUNDI";"BC";NA;"22"
"CAMEROON";"BC";NA;"58"
"CONGO (RDC)";"BC";NA;"689.2"
"EGYPT";"BC";NA;"608"
"ETHIOPIA";"BC";NA;"54"
"GHANA";"BC";NA;"49"
"IVORY COAST";"BC";NA;"342"
"KENYA";"BC";NA;"316"
"LIBERIA";"BC";NA;"38"
"LIBYA";"BC";NA;"379"
"MADAGASCAR";"BC";NA;"66"
"MALAWI";"BC";NA;"34"
"MALI";"BC";NA;"34"
"MAURITANIA";"BC";NA;"17.5328433624254"
"MAURITIUS";"BC";NA;"40"
"MOROCCO";"BC";NA;"528.932949282452"
"MOZAMBIQUE";"BC";NA;"45"
"NIGERIA";"BC";NA;"644"
"SENEGAL";"BC";NA;"217"
"SOUTH AFRICA";"BC";NA;"2297"
"SUDAN";"BC";NA;"48"
"TANZANIA";"BC";NA;"50"
"TOGO";"BC";NA;"47"
"TUNISIA";"BC";NA;"122"
"UGANDA";"BC";NA;"171"
"ZAMBIA";"BC";NA;"73"
"ZIMBABWE";"BC";NA;"89"
"FINLAND";"BC";NA;"370.846"
"FRANCE";"BC";NA;"6198"
"GERMANY";"BC";NA;"3133"
"GREECE";"BC";NA;"1213.312"
"ICELAND";"BC";NA;"27"
"IRELAND";"BC";NA;"294.173"
"ITALY";"BC";NA;"4422"
"LUXEMBOURG";"BC";NA;"31"
"NETHERLANDS";"BC";NA;"1070.605"
"NORWAY";"BC";NA;"494"
"PORTUGAL";"BC";NA;"1323"
"SPAIN";"BC";NA;"4908"
"SWEDEN";"BC";NA;"475"
"SWITZERLAND";"BC";NA;"353"
"UNITED KINGDOM";"BC";NA;"3916.765"
"BULGARIA";"BC";NA;"371"
"CROATIA";"BC";NA;"164"
"CYPRUS";"BC";NA;"122"
"CZECH REPUBLIC";"BC";NA;"530"
"ESTONIA";"BC";NA;"86.2"
"HUNGARY";"BC";NA;"430"
"LATVIA";"BC";NA;"123.757"
"LITHUANIA";"BC";NA;"165.913"
"MALTA";"BC";NA;"46"
"POLAND";"BC";NA;"2481"
"ROMANIA";"BC";NA;"533"
"SLOVAKIA";"BC";NA;"206"
"SLOVENIA";"BC";NA;"72.133"
"ALBANIA";"BC";NA;"80"
"BELARUS";"BC";NA;"364.826078"
"BOSNIA";"BC";NA;"50"
"GEORGIA";"BC";NA;"74"
"MACEDONIA";"BC";NA;"20"
"MOLDAVIA";"BC";NA;"102"
"RUSSIA";"BC";NA;"5642"
"SERBIA";"BC";NA;"156"
"TURKEY";"BC";NA;"2654"
"UKRAINE";"BC";NA;"1194"
"CANADA";"BC";NA;"786"
"MEXICO";"BC";NA;"7250"
"UNITED STATES OF AMERICA";"BC";NA;"104788"
"ARGENTINA";"BC";NA;"1775"
"BAHAMAS";"BC";NA;"29"
"BARBADOS";"BC";NA;"16"
"BELIZE";"BC";NA;"15"
"BERMUDA";"BC";NA;"5"
"BOLIVIA";"BC";NA;"180.046"
"BRAZIL";"BC";NA;"4653"
"CHILE";"BC";NA;"815"
"COLOMBIA";"BC";NA;"1245"
"COSTA RICA";"BC";NA;"157.067"
"CUBA";"BC";NA;"215"
"DOMINICAN REPUBLIC";"BC";NA;"451"
"ECUADOR";"BC";NA;"710"
"EL SALVADOR";"BC";NA;"106"
"GUATEMALA";"BC";NA;"573.147"
"HAITI";"BC";NA;"36"
"HONDURAS";"BC";NA;"90"
"JAMAICA";"BC";NA;"32"
"NICARAGUA";"BC";NA;"149.148"
"PANAMA";"BC";NA;"79"
"PARAGUAY";"BC";NA;"71"
"PERU";"BC";NA;"813"
"PUERTO RICO";"BC";NA;"113"
"SURINAME";"BC";NA;"28.5"
"TRINIDAD";"BC";NA;"41"
"URUGUAY";"BC";NA;"65"
"VENEZUELA";"BC";NA;"621"
"AFGHANISTAN";"BC";NA;"280"
"AUSTRALIA";"BC";NA;"2601"
"AZERBAIDJAN";"BC";NA;"118"
"BAHRAIN";"BC";NA;"129"
"BANGLADESH";"BC";NA;"141"
"BRUNEI";"BC";NA;"10"
"CHINA";"BC";NA;"10272"
"GUAM";"BC";NA;"31"
"HONG-KONG";"BC";NA;"130"
"INDIA";"BC";NA;"2706"
"INDONESIA";"BC";NA;"3985.371"
"IRAN";"BC";NA;"860"
"IRAQ";"BC";NA;"1400"
"ISRAEL";"BC";NA;"250"
"JAPAN";"BC";NA;"18596"
"JORDAN";"BC";NA;"93"
"KAZAKHSTAN";"BC";NA;"347"
"KUWAIT";"BC";NA;"185"
"KYRGYZSTAN";"BC";NA;"228.607694543224"
"LEBANON";"BC";NA;"91"
"MALAYSIA";"BC";NA;"862.527"
"NEW CALEDONIA";"BC";NA;"23"
"NEW ZEALAND";"BC";NA;"414"
"OMAN";"BC";NA;"120"
"PAKISTAN";"BC";NA;"351.229"
"PALESTINE";"BC";NA;"132"
"PHILIPPINES";"BC";NA;"321.814"
"QATAR";"BC";NA;"125"
"SAUDI ARABIA";"BC";NA;"1420"
"SINGAPORE";"BC";NA;"152.592"
"SOUTH KOREA";"BC";NA;"4275"
"SRI LANKA";"BC";NA;"395"
"SYRIA";"BC";NA;"1420"
"TAIWAN";"BC";NA;"1018"
"THAILAND";"BC";NA;"5596"
"UNITED ARAB EMIRATES";"BC";NA;"69"
"VIETNAM";"BC";NA;"98"
"YEMEN";"BC";NA;"260"
"ALGERIA";"BC";NA;"1018"
"ANGOLA";"BC";NA;"59"
"BENIN";"BC";NA;"14"
"BOTSWANA";"BC";NA;"99"
"BURKINA FASO";"BC";NA;"37"
"BURUNDI";"BC";NA;"22"
"CAMEROON";"BC";NA;"58"
"CONGO (RDC)";"BC";NA;"689.2"
"EGYPT";"BC";NA;"608"
"ETHIOPIA";"BC";NA;"54"
"GHANA";"BC";NA;"49"
"IVORY COAST";"BC";NA;"342"
"KENYA";"BC";NA;"316"
"LIBERIA";"BC";NA;"38"
"LIBYA";"BC";NA;"379"
"MADAGASCAR";"BC";NA;"66"
"MALAWI";"BC";NA;"34"
"MALI";"BC";NA;"34"
"MAURITANIA";"BC";NA;"17.5328433624254"
"MAURITIUS";"BC";NA;"40"
"MOROCCO";"BC";NA;"528.932949282452"
"MOZAMBIQUE";"BC";NA;"45"
"NIGERIA";"BC";NA;"644"
"SENEGAL";"BC";NA;"217"
"SOUTH AFRICA";"BC";NA;"2297"
"SUDAN";"BC";NA;"48"
"TANZANIA";"BC";NA;"50"
"TOGO";"BC";NA;"47"
"TUNISIA";"BC";NA;"122"
"UGANDA";"BC";NA;"171"
"ZAMBIA";"BC";NA;"73"
"ZIMBABWE";"BC";NA;"89"
"FINLAND";"BC";NA;"370.846"
"FRANCE";"BC";NA;"6198"
"GERMANY";"BC";NA;"3133"
"GREECE";"BC";NA;"1213.312"
"ICELAND";"BC";NA;"27"
"IRELAND";"BC";NA;"294.173"
"ITALY";"BC";NA;"4422"
"LUXEMBOURG";"BC";NA;"31"
"NETHERLANDS";"BC";NA;"1070.605"
"NORWAY";"BC";NA;"494"
"PORTUGAL";"BC";NA;"1323"
"SPAIN";"BC";NA;"4908"
"SWEDEN";"BC";NA;"475"
"SWITZERLAND";"BC";NA;"353"
"UNITED KINGDOM";"BC";NA;"3916.765"
"BULGARIA";"BC";NA;"371"
"CROATIA";"BC";NA;"164"
"CYPRUS";"BC";NA;"122"
"CZECH REPUBLIC";"BC";NA;"530"
"ESTONIA";"BC";NA;"86.2"
"HUNGARY";"BC";NA;"430"
"LATVIA";"BC";NA;"123.757"
"LITHUANIA";"BC";NA;"165.913"
"MALTA";"BC";NA;"46"
"POLAND";"BC";NA;"2481"
"ROMANIA";"BC";NA;"533"
"SLOVAKIA";"BC";NA;"206"
"SLOVENIA";"BC";NA;"72.133"
"ALBANIA";"BC";NA;"80"
"BELARUS";"BC";NA;"364.826078"
"BOSNIA";"BC";NA;"50"
"GEORGIA";"BC";NA;"74"
"MACEDONIA";"BC";NA;"20"
"MOLDAVIA";"BC";NA;"102"
"RUSSIA";"BC";NA;"5642"
"SERBIA";"BC";NA;"156"
"TURKEY";"BC";NA;"2654"
"UKRAINE";"BC";NA;"1194"
"CANADA";"BC";NA;"786"
"MEXICO";"BC";NA;"7250"
"UNITED STATES OF AMERICA";"BC";NA;"104788"
"ARGENTINA";"BC";NA;"1775"
"BAHAMAS";"BC";NA;"29"
"BARBADOS";"BC";NA;"16"
"BELIZE";"BC";NA;"15"
"BERMUDA";"BC";NA;"5"
"BOLIVIA";"BC";NA;"180.046"
"BRAZIL";"BC";NA;"4653"
"CHILE";"BC";NA;"815"
"COLOMBIA";"BC";NA;"1245"
"COSTA RICA";"BC";NA;"157.067"
"CUBA";"BC";NA;"215"
"DOMINICAN REPUBLIC";"BC";NA;"451"
"ECUADOR";"BC";NA;"710"
"EL SALVADOR";"BC";NA;"106"
"GUATEMALA";"BC";NA;"573.147"
"HAITI";"BC";NA;"36"
"HONDURAS";"BC";NA;"90"
"JAMAICA";"BC";NA;"32"
"NICARAGUA";"BC";NA;"149.148"
"PANAMA";"BC";NA;"79"
"PARAGUAY";"BC";NA;"71"
"PERU";"BC";NA;"813"
"PUERTO RICO";"BC";NA;"113"
"SURINAME";"BC";NA;"28.5"
"TRINIDAD";"BC";NA;"41"
"URUGUAY";"BC";NA;"65"
"VENEZUELA";"BC";NA;"621"
"AFGHANISTAN";"BC";NA;"280"
"AUSTRALIA";"BC";NA;"2601"
"AZERBAIDJAN";"BC";NA;"118"
"BAHRAIN";"BC";NA;"129"
"BANGLADESH";"BC";NA;"141"
"BRUNEI";"BC";NA;"10"
"CHINA";"BC";NA;"10272"
"GUAM";"BC";NA;"31"
"HONG-KONG";"BC";NA;"130"
"INDIA";"BC";NA;"2706"
"INDONESIA";"BC";NA;"3985.371"
"IRAN";"BC";NA;"860"
"IRAQ";"BC";NA;"1400"
"ISRAEL";"BC";NA;"250"
"JAPAN";"BC";NA;"18596"
"JORDAN";"BC";NA;"93"
"KAZAKHSTAN";"BC";NA;"347"
"KUWAIT";"BC";NA;"185"
"KYRGYZSTAN";"BC";NA;"228.607694543224"
"LEBANON";"BC";NA;"91"
"MALAYSIA";"BC";NA;"862.527"
"NEW CALEDONIA";"BC";NA;"23"
"NEW ZEALAND";"BC";NA;"414"
"OMAN";"BC";NA;"120"
"PAKISTAN";"BC";NA;"351.229"
"PALESTINE";"BC";NA;"132"
"PHILIPPINES";"BC";NA;"321.814"
"QATAR";"BC";NA;"125"
"SAUDI ARABIA";"BC";NA;"1420"
"SINGAPORE";"BC";NA;"152.592"
"SOUTH KOREA";"BC";NA;"4275"
"SRI LANKA";"BC";NA;"395"
"SYRIA";"BC";NA;"1420"
"TAIWAN";"BC";NA;"1018"
"THAILAND";"BC";NA;"5596"
"UNITED ARAB EMIRATES";"BC";NA;"69"
"VIETNAM";"BC";NA;"98"
"YEMEN";"BC";NA;"260"
"ALGERIA";"BC";NA;"1018"
"ANGOLA";"BC";NA;"59"
"BENIN";"BC";NA;"14"
"BOTSWANA";"BC";NA;"99"
"BURKINA FASO";"BC";NA;"37"
"BURUNDI";"BC";NA;"22"
"CAMEROON";"BC";NA;"58"
"CONGO (RDC)";"BC";NA;"689.2"
"EGYPT";"BC";NA;"608"
"ETHIOPIA";"BC";NA;"54"
"GHANA";"BC";NA;"49"
"IVORY COAST";"BC";NA;"342"
"KENYA";"BC";NA;"316"
"LIBERIA";"BC";NA;"38"
"LIBYA";"BC";NA;"379"
"MADAGASCAR";"BC";NA;"66"
"MALAWI";"BC";NA;"34"
"MALI";"BC";NA;"34"
"MAURITANIA";"BC";NA;"17.5328433624254"
"MAURITIUS";"BC";NA;"40"
"MOROCCO";"BC";NA;"528.932949282452"
"MOZAMBIQUE";"BC";NA;"45"
"NIGERIA";"BC";NA;"644"
"SENEGAL";"BC";NA;"217"
"SOUTH AFRICA";"BC";NA;"2297"
"SUDAN";"BC";NA;"48"
"TANZANIA";"BC";NA;"50"
"TOGO";"BC";NA;"47"
"TUNISIA";"BC";NA;"122"
"UGANDA";"BC";NA;"171"
"ZAMBIA";"BC";NA;"73"
"ZIMBABWE";"BC";NA;"89"
"FINLAND";"BC";NA;"370.846"
"FRANCE";"BC";NA;"6198"
"GERMANY";"BC";NA;"3133"
"GREECE";"BC";NA;"1213.312"
"ICELAND";"BC";NA;"27"
"IRELAND";"BC";NA;"294.173"
"ITALY";"BC";NA;"4422"
"LUXEMBOURG";"BC";NA;"31"
"NETHERLANDS";"BC";NA;"1070.605"
"NORWAY";"BC";NA;"494"
"PORTUGAL";"BC";NA;"1323"
"SPAIN";"BC";NA;"4908"
"SWEDEN";"BC";NA;"475"
"SWITZERLAND";"BC";NA;"353"
"UNITED KINGDOM";"BC";NA;"3916.765"
"BULGARIA";"BC";NA;"371"
"CROATIA";"BC";NA;"164"
"CYPRUS";"BC";NA;"122"
"CZECH REPUBLIC";"BC";NA;"530"
"ESTONIA";"BC";NA;"86.2"
"HUNGARY";"BC";NA;"430"
"LATVIA";"BC";NA;"123.757"
"LITHUANIA";"BC";NA;"165.913"
"MALTA";"BC";NA;"46"
"POLAND";"BC";NA;"2481"
"ROMANIA";"BC";NA;"533"
"SLOVAKIA";"BC";NA;"206"
"SLOVENIA";"BC";NA;"72.133"
"ALBANIA";"BC";NA;"80"
"BELARUS";"BC";NA;"364.826078"
"BOSNIA";"BC";NA;"50"
"GEORGIA";"BC";NA;"74"
"MACEDONIA";"BC";NA;"20"
"MOLDAVIA";"BC";NA;"102"
"RUSSIA";"BC";NA;"5642"
"SERBIA";"BC";NA;"156"
"TURKEY";"BC";NA;"2654"
"UKRAINE";"BC";NA;"1194"
"CANADA";"BC";NA;"786"
"MEXICO";"BC";NA;"7250"
"UNITED STATES OF AMERICA";"BC";NA;"104788"
"ARGENTINA";"BC";NA;"1775"
"BAHAMAS";"BC";NA;"29"
"BARBADOS";"BC";NA;"16"
"BELIZE";"BC";NA;"15"
"BERMUDA";"BC";NA;"5"
"BOLIVIA";"BC";NA;"180.046"
"BRAZIL";"BC";NA;"4653"
"CHILE";"BC";NA;"815"
"COLOMBIA";"BC";NA;"1245"
"COSTA RICA";"BC";NA;"157.067"
"CUBA";"BC";NA;"215"
"DOMINICAN REPUBLIC";"BC";NA;"451"
"ECUADOR";"BC";NA;"710"
"EL SALVADOR";"BC";NA;"106"
"GUATEMALA";"BC";NA;"573.147"
"HAITI";"BC";NA;"36"
"HONDURAS";"BC";NA;"90"
"JAMAICA";"BC";NA;"32"
"NICARAGUA";"BC";NA;"149.148"
"PANAMA";"BC";NA;"79"
"PARAGUAY";"BC";NA;"71"
"PERU";"BC";NA;"813"
"PUERTO RICO";"BC";NA;"113"
"SURINAME";"BC";NA;"28.5"
"TRINIDAD";"BC";NA;"41"
"URUGUAY";"BC";NA;"65"
"VENEZUELA";"BC";NA;"621"
"AFGHANISTAN";"BC";NA;"280"
"AUSTRALIA";"BC";NA;"2601"
"AZERBAIDJAN";"BC";NA;"118"
"BAHRAIN";"BC";NA;"129"
"BANGLADESH";"BC";NA;"141"
"BRUNEI";"BC";NA;"10"
"CHINA";"BC";NA;"10272"
"GUAM";"BC";NA;"31"
"HONG-KONG";"BC";NA;"130"
"INDIA";"BC";NA;"2706"
"INDONESIA";"BC";NA;"3985.371"
"IRAN";"BC";NA;"860"
"IRAQ";"BC";NA;"1400"
"ISRAEL";"BC";NA;"250"
"JAPAN";"BC";NA;"18596"
"JORDAN";"BC";NA;"93"
"KAZAKHSTAN";"BC";NA;"347"
"KUWAIT";"BC";NA;"185"
"KYRGYZSTAN";"BC";NA;"228.607694543224"
"LEBANON";"BC";NA;"91"
"MALAYSIA";"BC";NA;"862.527"
"NEW CALEDONIA";"BC";NA;"23"
"NEW ZEALAND";"BC";NA;"414"
"OMAN";"BC";NA;"120"
"PAKISTAN";"BC";NA;"351.229"
"PALESTINE";"BC";NA;"132"
"PHILIPPINES";"BC";NA;"321.814"
"QATAR";"BC";NA;"125"
"SAUDI ARABIA";"BC";NA;"1420"
"SINGAPORE";"BC";NA;"152.592"
"SOUTH KOREA";"BC";NA;"4275"
"SRI LANKA";"BC";NA;"395"
"SYRIA";"BC";NA;"1420"
"TAIWAN";"BC";NA;"1018"
"THAILAND";"BC";NA;"5596"
"UNITED ARAB EMIRATES";"BC";NA;"69"
"VIETNAM";"BC";NA;"98"
"YEMEN";"BC";NA;"260"
"ALGERIA";"BC";NA;"1018"
"ANGOLA";"BC";NA;"59"
"BENIN";"BC";NA;"14"
"BOTSWANA";"BC";NA;"99"
"BURKINA FASO";"BC";NA;"37"
"BURUNDI";"BC";NA;"22"
"CAMEROON";"BC";NA;"58"
"CONGO (RDC)";"BC";NA;"689.2"
"EGYPT";"BC";NA;"608"
"ETHIOPIA";"BC";NA;"54"
"GHANA";"BC";NA;"49"
"IVORY COAST";"BC";NA;"342"
"KENYA";"BC";NA;"316"
"LIBERIA";"BC";NA;"38"
"LIBYA";"BC";NA;"379"
"MADAGASCAR";"BC";NA;"66"
"MALAWI";"BC";NA;"34"
"MALI";"BC";NA;"34"
"MAURITANIA";"BC";NA;"17.5328433624254"
"MAURITIUS";"BC";NA;"40"
"MOROCCO";"BC";NA;"528.932949282452"
"MOZAMBIQUE";"BC";NA;"45"
"NIGERIA";"BC";NA;"644"
"SENEGAL";"BC";NA;"217"
"SOUTH AFRICA";"BC";NA;"2297"
"SUDAN";"BC";NA;"48"
"TANZANIA";"BC";NA;"50"
"TOGO";"BC";NA;"47"
"TUNISIA";"BC";NA;"122"
"UGANDA";"BC";NA;"171"
"ZAMBIA";"BC";NA;"73"
"ZIMBABWE";"BC";NA;"89"
"FINLAND";"BC";NA;"370.846"
"FRANCE";"BC";NA;"6198"
"GERMANY";"BC";NA;"3133"
"GREECE";"BC";NA;"1213.312"
"ICELAND";"BC";NA;"27"
"IRELAND";"BC";NA;"294.173"
"ITALY";"BC";NA;"4422"
"LUXEMBOURG";"BC";NA;"31"
"NETHERLANDS";"BC";NA;"1070.605"
"NORWAY";"BC";NA;"494"
"PORTUGAL";"BC";NA;"1323"
"SPAIN";"BC";NA;"4908"
"SWEDEN";"BC";NA;"475"
"SWITZERLAND";"BC";NA;"353"
"UNITED KINGDOM";"BC";NA;"3916.765"
"BULGARIA";"BC";NA;"371"
"CROATIA";"BC";NA;"164"
"CYPRUS";"BC";NA;"122"
"CZECH REPUBLIC";"BC";NA;"530"
"ESTONIA";"BC";NA;"86.2"
"HUNGARY";"BC";NA;"430"
"LATVIA";"BC";NA;"123.757"
"LITHUANIA";"BC";NA;"165.913"
"MALTA";"BC";NA;"46"
"POLAND";"BC";NA;"2481"
"ROMANIA";"BC";NA;"533"
"SLOVAKIA";"BC";NA;"206"
"SLOVENIA";"BC";NA;"72.133"
"ALBANIA";"BC";NA;"80"
"BELARUS";"BC";NA;"364.826078"
"BOSNIA";"BC";NA;"50"
"GEORGIA";"BC";NA;"74"
"MACEDONIA";"BC";NA;"20"
"MOLDAVIA";"BC";NA;"102"
"RUSSIA";"BC";NA;"5642"
"SERBIA";"BC";NA;"156"
"TURKEY";"BC";NA;"2654"
"UKRAINE";"BC";NA;"1194"
"CANADA";"BC";NA;"786"
"MEXICO";"BC";NA;"7250"
"UNITED STATES OF AMERICA";"BC";NA;"104788"
"ARGENTINA";"BC";NA;"1775"
"BAHAMAS";"BC";NA;"29"
"BARBADOS";"BC";NA;"16"
"BELIZE";"BC";NA;"15"
"BERMUDA";"BC";NA;"5"
"BOLIVIA";"BC";NA;"180.046"
"BRAZIL";"BC";NA;"4653"
"CHILE";"BC";NA;"815"
"COLOMBIA";"BC";NA;"1245"
"COSTA RICA";"BC";NA;"157.067"
"CUBA";"BC";NA;"215"
"DOMINICAN REPUBLIC";"BC";NA;"451"
"ECUADOR";"BC";NA;"710"
"EL SALVADOR";"BC";NA;"106"
"GUATEMALA";"BC";NA;"573.147"
"HAITI";"BC";NA;"36"
"HONDURAS";"BC";NA;"90"
"JAMAICA";"BC";NA;"32"
"NICARAGUA";"BC";NA;"149.148"
"PANAMA";"BC";NA;"79"
"PARAGUAY";"BC";NA;"71"
"PERU";"BC";NA;"813"
"PUERTO RICO";"BC";NA;"113"
"SURINAME";"BC";NA;"28.5"
"TRINIDAD";"BC";NA;"41"
"URUGUAY";"BC";NA;"65"
"VENEZUELA";"BC";NA;"621"
"AFGHANISTAN";"BC";NA;"280"
"AUSTRALIA";"BC";NA;"2601"
"AZERBAIDJAN";"BC";NA;"118"
"BAHRAIN";"BC";NA;"129"
"BANGLADESH";"BC";NA;"141"
"BRUNEI";"BC";NA;"10"
"CHINA";"BC";NA;"10272"
"GUAM";"BC";NA;"31"
"HONG-KONG";"BC";NA;"130"
"INDIA";"BC";NA;"2706"
"INDONESIA";"BC";NA;"3985.371"
"IRAN";"BC";NA;"860"
"IRAQ";"BC";NA;"1400"
"ISRAEL";"BC";NA;"250"
"JAPAN";"BC";NA;"18596"
"JORDAN";"BC";NA;"93"
"KAZAKHSTAN";"BC";NA;"347"
"KUWAIT";"BC";NA;"185"
"KYRGYZSTAN";"BC";NA;"228.607694543224"
"LEBANON";"BC";NA;"91"
"MALAYSIA";"BC";NA;"862.527"
"NEW CALEDONIA";"BC";NA;"23"
"NEW ZEALAND";"BC";NA;"414"
"OMAN";"BC";NA;"120"
"PAKISTAN";"BC";NA;"351.229"
"PALESTINE";"BC";NA;"132"
"PHILIPPINES";"BC";NA;"321.814"
"QATAR";"BC";NA;"125"
"SAUDI ARABIA";"BC";NA;"1420"
"SINGAPORE";"BC";NA;"152.592"
"SOUTH KOREA";"BC";NA;"4275"
"SRI LANKA";"BC";NA;"395"
"SYRIA";"BC";NA;"1420"
"TAIWAN";"BC";NA;"1018"
"THAILAND";"BC";NA;"5596"
"UNITED ARAB EMIRATES";"BC";NA;"69"
"VIETNAM";"BC";NA;"98"
"YEMEN";"BC";NA;"260"
"ALGERIA";"BC";NA;"1018"
"ANGOLA";"BC";NA;"59"
"BENIN";"BC";NA;"14"
"BOTSWANA";"BC";NA;"99"
"BURKINA FASO";"BC";NA;"37"
"BURUNDI";"BC";NA;"22"
"CAMEROON";"BC";NA;"58"
"CONGO (RDC)";"BC";NA;"689.2"
"EGYPT";"BC";NA;"608"
"ETHIOPIA";"BC";NA;"54"
"GHANA";"BC";NA;"49"
"IVORY COAST";"BC";NA;"342"
"KENYA";"BC";NA;"316"
"LIBERIA";"BC";NA;"38"
"LIBYA";"BC";NA;"379"
"MADAGASCAR";"BC";NA;"66"
"MALAWI";"BC";NA;"34"
"MALI";"BC";NA;"34"
"MAURITANIA";"BC";NA;"17.5328433624254"
"MAURITIUS";"BC";NA;"40"
"MOROCCO";"BC";NA;"528.932949282452"
"MOZAMBIQUE";"BC";NA;"45"
"NIGERIA";"BC";NA;"644"
"SENEGAL";"BC";NA;"217"
"SOUTH AFRICA";"BC";NA;"2297"
"SUDAN";"BC";NA;"48"
"TANZANIA";"BC";NA;"50"
"TOGO";"BC";NA;"47"
"TUNISIA";"BC";NA;"122"
"UGANDA";"BC";NA;"171"
"ZAMBIA";"BC";NA;"73"
"ZIMBABWE";"BC";NA;"89"
"FINLAND";"BC";NA;"370.846"
"FRANCE";"BC";NA;"6198"
"GERMANY";"BC";NA;"3133"
"GREECE";"BC";NA;"1213.312"
"ICELAND";"BC";NA;"27"
"IRELAND";"BC";NA;"294.173"
"ITALY";"BC";NA;"4422"
"LUXEMBOURG";"BC";NA;"31"
"NETHERLANDS";"BC";NA;"1070.605"
"NORWAY";"BC";NA;"494"
"PORTUGAL";"BC";NA;"1323"
"SPAIN";"BC";NA;"4908"
"SWEDEN";"BC";NA;"475"
"SWITZERLAND";"BC";NA;"353"
"UNITED KINGDOM";"BC";NA;"3916.765"
"BULGARIA";"BC";NA;"371"
"CROATIA";"BC";NA;"164"
"CYPRUS";"BC";NA;"122"
"CZECH REPUBLIC";"BC";NA;"530"
"ESTONIA";"BC";NA;"86.2"
"HUNGARY";"BC";NA;"430"
"LATVIA";"BC";NA;"123.757"
"LITHUANIA";"BC";NA;"165.913"
"MALTA";"BC";NA;"46"
"POLAND";"BC";NA;"2481"
"ROMANIA";"BC";NA;"533"
"SLOVAKIA";"BC";NA;"206"
"SLOVENIA";"BC";NA;"72.133"
"ALBANIA";"BC";NA;"80"
"BELARUS";"BC";NA;"364.826078"
"BOSNIA";"BC";NA;"50"
"GEORGIA";"BC";NA;"74"
"MACEDONIA";"BC";NA;"20"
"MOLDAVIA";"BC";NA;"102"
"RUSSIA";"BC";NA;"5642"
"SERBIA";"BC";NA;"156"
"TURKEY";"BC";NA;"2654"
"UKRAINE";"BC";NA;"1194"
"CANADA";"BC";NA;"786"
"MEXICO";"BC";NA;"7250"
"UNITED STATES OF AMERICA";"BC";NA;"104788"
"ARGENTINA";"BC";NA;"1775"
"BAHAMAS";"BC";NA;"29"
"BARBADOS";"BC";NA;"16"
"BELIZE";"BC";NA;"15"
"BERMUDA";"BC";NA;"5"
"BOLIVIA";"BC";NA;"180.046"
"BRAZIL";"BC";NA;"4653"
"CHILE";"BC";NA;"815"
"COLOMBIA";"BC";NA;"1245"
"COSTA RICA";"BC";NA;"157.067"
"CUBA";"BC";NA;"215"
"DOMINICAN REPUBLIC";"BC";NA;"451"
"ECUADOR";"BC";NA;"710"
"EL SALVADOR";"BC";NA;"106"
"GUATEMALA";"BC";NA;"573.147"
"HAITI";"BC";NA;"36"
"HONDURAS";"BC";NA;"90"
"JAMAICA";"BC";NA;"32"
"NICARAGUA";"BC";NA;"149.148"
"PANAMA";"BC";NA;"79"
"PARAGUAY";"BC";NA;"71"
"PERU";"BC";NA;"813"
"PUERTO RICO";"BC";NA;"113"
"SURINAME";"BC";NA;"28.5"
"TRINIDAD";"BC";NA;"41"
"URUGUAY";"BC";NA;"65"
"VENEZUELA";"BC";NA;"621"
"AFGHANISTAN";"BC";NA;"280"
"AUSTRALIA";"BC";NA;"2601"
"AZERBAIDJAN";"BC";NA;"118"
"BAHRAIN";"BC";NA;"129"
"BANGLADESH";"BC";NA;"141"
"BRUNEI";"BC";NA;"10"
