"Country";"Type";"Year";"Number"
"MEXICO";"PC";2015;"1968054"
"USA";"PC";2015;"4163679"
"- SOUTH AMERICA";"PC";2015;"2376749"
"Double counts South America / World";"PC";2015;"-37700"
"ARGENTINA";"PC";2015;"308756"
"BRAZIL";"PC";2015;"2018954"
"COLOMBIA";"PC";2015;"77000"
"VENEZUELA";"PC";2015;"9739"
"ASIA-OCEANIA";"PC";2015;"40022392"
"Double Counts Asia / World";"PC";2015;"-205130"
"AUSTRALIA";"PC";2015;"159872"
"BANGLADESH";"PC";2015;"540"
"CHINA";"PC";2015;"21079427"
"INDIA";"PC";2015;"3378063"
"INDONESIA";"PC";2015;"824445"
"IRAN";"PC";2015;"884866"
"JAPAN";"PC";2015;"7830722"
"MALAYSIA";"PC";2015;"558324"
"PAKISTAN";"PC";2015;"182548"
"PHILIPPINES";"PC";2015;"77539"
"SOUTH KOREA";"PC";2015;"4135108"
"TAIWAN";"PC";2015;"298418"
"THAILAND";"PC";2015;"772250"
"VIETNAM";"PC";2015;"45400"
"AFRICA";"PC";2015;"604784"
"Double Counts South Africa / World";"PC";2015;"-28370"
"ALGERIA";"PC";2015;"20000"
"EGYPT";"PC";2015;"12000"
"MOROCCO";"PC";2015;"260129"
"SOUTH AFRICA";"PC";2015;"341025"
"TOTAL";"PC";2015;"68539516"
"AUSTRIA";"HT";2005;"22567"
"BELGIUM";"HT";2005;"30377"
"FINLAND";"HT";2005;"411"
"FRANCE";"HT";2005;"50159"
"GERMANY";"HT";2005;"205696"
"ITALY";"HT";2005;"39616"
"NETHERLANDS";"HT";2005;"63643"
"PORTUGAL";"HT";2005;"3232"
"SPAIN";"HT";2005;"74081"
"SWEDEN";"HT";2005;"41346"
"UNITED KINGDOM";"HT";2005;"18374"
"- EUROPEAN UNION New Members";"HT";2005;"4841"
"CZECH REPUBLIC";"HT";2005;"2044"
"HUNGARY";"HT";2005;"2473"
"POLAND(4)";"HT";2005;"324"
"- EAST AND CENTRAL EUROPE";"HT";2005;"92792"
"ROMANIA";"HT";2005;"186"
"SERBIA";"HT";2005;"477"
"CIS";"HT";2005;"92129"
"RUSSIA";"HT";2005;"65965"
"BELARUS";"HT";2005;"22500"
"UKRAINE";"HT";2005;"3664"
"- TURKEY";"HT";2005;"37227"
"AMERICA";"HT";2005;"686815"
"- NAFTA";"HT";2005;"548974"
"CANADA";"HT";2005;"64812"
"MEXICO";"HT";2005;"61759"
"UNITED STATES OF AMERICA";"HT";2005;"422403"
"- SOUTH AMERICA";"HT";2005;"137841"
"ARGENTINA";"HT";2005;"19949"
"BRAZIL";"HT";2005;"117892"
"ASIA-OCEANIA";"HT";2005;"1582715"
"AUSTRALIA";"HT";2005;"5728"
"CHINA";"HT";2005;"563486"
"INDIA";"HT";2005;"220654"
"INDONESIA";"HT";2005;"19032"
"JAPAN";"HT";2005;"723663"
"SOUTH KOREA";"HT";2005;"29699"
"TAIWAN";"HT";2005;"5089"
"THAILAND";"HT";2005;"15364"
"AFRICA";"HT";2005;"26727"
"Double Counts Egypt / world";"HT";2005;"3882"
"EGYPT";"HT";2005;"3882"
"SOUTH AFRICA";"HT";2005;"26727"
"TOTAL";"HT";2005;"2980619"
"AUSTRIA";"HT";2006;"26646"
"BELGIUM";"HT";2006;"34984"
"FINLAND";"HT";2006;"353"
"FRANCE";"HT";2006;"55439"
"GERMANY(1)";"HT";2006;"209385"
"ITALY";"HT";2006;"44020"
"NETHERLANDS";"HT";2006;"70202"
"PORTUGAL";"HT";2006;"5248"
"SPAIN";"HT";2006;"77882"
"SWEDEN (2)";"HT";2006;"35485"
"UNITED KINGDOM";"HT";2006;"18327"
"- EUROPEAN UNION New Members";"HT";2006;"5095"
"CZECH REPUBLIC";"HT";2006;"1979"
"HUNGARY";"HT";2006;"2600"
"POLAND";"HT";2006;"0"
"ROMANIA";"HT";2006;"516"
"SLOVENIA";"HT";2006;"0"
"- EAST AND CENTRAL EUROPE";"HT";2006;"113856"
"SERBIA";"HT";2006;"413"
"CIS";"HT";2006;"113443"
"RUSSIA";"HT";2006;"88073"
"BELARUS";"HT";2006;"22500"
"UKRAINE";"HT";2006;"2870"
"TURKEY";"HT";2006;"37026"
"AMERICA";"HT";2006;"754974"
"- NAFTA";"HT";2006;"626601"
"CANADA";"HT";2006;"74925"
"MEXICO";"HT";2006;"89735"
"UNITED STATES OF AMERICA";"HT";2006;"461941"
"- SOUTH AMERICA";"HT";2006;"128373"
"ARGENTINA";"HT";2006;"22372"
"BRAZIL";"HT";2006;"106001"
"ASIA-OCEANIA";"HT";2006;"1764816"
"AUSTRALIA";"HT";2006;"5390"
"CHINA";"HT";2006;"702870"
"INDIA";"HT";2006;"280237"
"INDONESIA";"HT";2006;"38469"
"JAPAN";"HT";2006;"699410"
"MALAYSIA";"HT";2006;"18254"
"TAIWAN";"HT";2006;"5386"
"THAILAND";"HT";2006;"14800"
"AFRICA";"HT";2006;"29751"
"Double Counts Egypt / world";"HT";2006;"8150"
"EGYPT";"HT";2006;"5633"
"TOTAL";"HT";2006;"3050174"
"AUSTRIA";"HT";2007;"28097"
"BELGIUM";"HT";2007;"43516"
"FINLAND";"HT";2007;"303"
"FRANCE";"HT";2007;"67395"
"GERMANY(1)";"HT";2007;"243642"
"ITALY";"HT";2007;"51114"
"NETHERLANDS";"HT";2007;"74649"
"PORTUGAL";"HT";2007;"5981"
"SPAIN";"HT";2007;"92793"
"SWEDEN (2)";"HT";2007;"40364"
"UNITED KINGDOM";"HT";2007;"18436"
"- EUROPEAN UNION New Members";"HT";2007;"6875"
"CZECH REPUBLIC";"HT";2007;"3154"
"HUNGARY";"HT";2007;"3566"
"ROMANIA";"HT";2007;"155"
"- OTHER EUROPE";"HT";2007;"134999"
"SERBIA";"HT";2007;"420"
"CIS";"HT";2007;"134579"
"Double Counts Ukraine / World";"HT";2007;"-462"
"RUSSIA";"HT";2007;"103932"
"BELARUS";"HT";2007;"25548"
"UKRAINE";"HT";2007;"4637"
"TURKEY";"HT";2007;"34544"
"AMERICA";"HT";2007;"588010"
"- NAFTA";"HT";2007;"404749"
"CANADA";"HT";2007;"36088"
"MEXICO";"HT";2007;"89544"
"USA";"HT";2007;"279117"
"- SOUTH AMERICA";"HT";2007;"183261"
"ARGENTINA";"HT";2007;"4912"
"BRAZIL";"HT";2007;"137052"
"CHILE";"HT";2007;"10804"
"ECUADOR";"HT";2007;"20102"
"VENEZUELA";"HT";2007;"10391"
"ASIA-OCEANIA";"HT";2007;"2002374"
"AUSTRALIA";"HT";2007;"6633"
"CHINA";"HT";2007;"878608"
"INDIA";"HT";2007;"288020"
"INDONESIA";"HT";2007;"50430"
"JAPAN";"HT";2007;"718901"
"MALAYSIA";"HT";2007;"13986"
"SOUTH KOREA (3 )";"HT";2007;"26397"
"TAIWAN";"HT";2007;"3132"
"THAILAND";"HT";2007;"15331"
"VIETNAM";"HT";2007;"936"
"AFRICA";"HT";2007;"29082"
"Double Counts South Africa / world";"HT";2007;"-14064"
"EGYPT";"HT";2007;"6784"
"TOTAL";"HT";2007;"3310357"
"TOTAL";"HT";NA;"+12.7%"
"AUSTRIA";"HT";2008;"25441"
"BELGIUM";"HT";2008;"43081"
"FINLAND";"HT";2008;"376"
"FRANCE";"HT";2008;"69761"
"GERMANY";"HT";2008;"257396"
"ITALY";"HT";2008;"48232"
"NETHERLANDS";"HT";2008;"71326"
"PORTUGAL";"HT";2008;"6609"
"SPAIN";"HT";2008;"73883"
"SWEDEN (1)";"HT";2008;"46858"
"UNITED KINGDOM";"HT";2008;"25565"
"- EUROPEAN UNION New Members";"HT";2008;"19451"
"CZECH REPUBLIC";"HT";2008;"2726"
"HUNGARY";"HT";2008;"3067"
"POLAND";"HT";2008;"13381"
"ROMANIA";"HT";2008;"277"
"- OTHER EUROPE";"HT";2008;"138471"
"SERBIA";"HT";2008;"350"
"CIS";"HT";2008;"138121"
"RUSSIA";"HT";2008;"102393"
"BELARUS";"HT";2008;"26291"
"UKRAINE";"HT";2008;"9437"
"TURKEY";"HT";2008;"36800"
"AMERICA";"HT";2008;"552054"
"- NAFTA";"HT";2008;"343686"
"CANADA";"HT";2008;"34970"
"MEXICO";"HT";2008;"83560"
"USA";"HT";2008;"225156"
"- SOUTH AMERICA";"HT";2008;"208368"
"ARGENTINA";"HT";2008;"7183"
"BRAZIL";"HT";2008;"167330"
"CHILE";"HT";2008;"4405"
"ECUADOR";"HT";2008;"20381"
"VENEZUELA";"HT";2008;"9069"
"ASIA-OCEANIA";"HT";2008;"2152074"
"Double Counts Asia / world";"HT";2008;"0"
"Double Counts China / world";"HT";2008;"0"
"Double Counts Thailand / world";"HT";2008;"0"
"AUSTRALIA";"HT";2008;"5438"
"CHINA";"HT";2008;"1066110"
"INDIA";"HT";2008;"201182"
"INDONESIA";"HT";2008;"81548"
"JAPAN";"HT";2008;"734902"
"MALAYSIA";"HT";2008;"17326"
"SOUTH KOREA (2)";"HT";2008;"27346"
"TAIWAN";"HT";2008;"3870"
"THAILAND";"HT";2008;"13018"
"VIETNAM";"HT";2008;"1334"
"AFRICA";"HT";2008;"28810"
"Double Counts South Africa / world";"HT";2008;"-13200"
"EGYPT";"HT";2008;"7983"
"TOTAL";"HT";2008;"3262784"
"TOTAL";"HT";NA;"+10.0%"
"AUSTRIA";"HT";2009;"15714"
"BELGIUM";"HT";2009;"12039"
"FINLAND";"HT";2009;"64"
"FRANCE";"HT";2009;"25325"
"GERMANY";"HT";2009;"69920"
"ITALY";"HT";2009;"23046"
"NETHERLANDS";"HT";2009;"24490"
"PORTUGAL";"HT";2009;"2079"
"SPAIN";"HT";2009;"25707"
"SW EDEN";"HT";2009;"17859"
"UNITED KINGDOM";"HT";2009;"9003"
"- EUROPEAN UNION New Members";"HT";2009;"8396"
"CZECH REPUBLIC";"HT";2009;"1091"
"HUNGARY";"HT";2009;"1670"
"POLAND";"HT";2009;"5447"
"ROMANIA";"HT";2009;"188"
"- OTHER EUROPE";"HT";2009;"52547"
"SERBIA";"HT";2009;"300"
"CIS";"HT";2009;"52247"
"RUSSIA";"HT";2009;"40326"
"BELARUS";"HT";2009;"11457"
"UKRAINE";"HT";2009;"464"
"TURKEY";"HT";2009;"8246"
"AMERICA";"HT";2009;"358280"
"- NAFTA";"HT";2009;"202739"
"CANADA";"HT";2009;"11321"
"MEXICO";"HT";2009;"59135"
"USA";"HT";2009;"132283"
"- SOUTH AMERICA";"HT";2009;"155541"
"ARGENTINA";"HT";2009;"12891"
"BRAZIL";"HT";2009;"123633"
"CHILE";"HT";2009;"3250"
"ECUADOR";"HT";2009;"8448"
"VENEZUELA";"HT";2009;"7319"
"ASIA-OCEANIA";"HT";2009;"2371300"
"AUSTRALIA";"HT";2009;"3929"
"CHINA";"HT";2009;"1704407"
"INDIA";"HT";2009;"154878"
"INDONESIA";"HT";2009;"55766"
"IRAN";"HT";2009;"29130"
"JAPAN";"HT";2009;"371686"
"MALAYSIA";"HT";2009;"3217"
"PAKISTAN";"HT";2009;"3069"
"PHILIPPINES";"HT";2009;"6861"
"SOUTH KOREA (2)";"HT";2009;"22984"
"TAIW AN";"HT";2009;"3559"
"THAILAND";"HT";2009;"10930"
"VIETNAM";"HT";2009;"884"
"AFRICA";"HT";2009;"17492"
"Double Counts South Africa / world";"HT";2009;"-7120"
"EGYPT";"HT";2009;"6406"
"SOUTH AFRICA";"HT";2009;"18206"
"TOTAL";"HT";2009;"3039428"
"BELGIUM";"HT";2010;"25338"
"FINLAND";"HT";2010;"280"
"FRANCE";"HT";2010;"39296"
"GERMANY";"HT";2010;"115954"
"ITALY";"HT";2010;"27948"
"NETHERLANDS";"HT";2010;"44764"
"PORTUGAL";"HT";2010;"4326"
"SPAIN";"HT";2010;"36891"
"SWEDEN";"HT";2010;"30000"
"UNITED KINGDOM";"HT";2010;"10116"
"- EUROPEAN UNION New Members";"HT";2010;"10161"
"CZECH REPUBLIC";"HT";2010;"1410"
"HUNGARY";"HT";2010;"2760"
"POLAND";"HT";2010;"5936"
"ROMANIA";"HT";2010;"55"
"- OTHER EUROPE";"HT";2010;"74463"
"SERBIA";"HT";2010;"97"
"CIS";"HT";2010;"74366"
"RUSSIA";"HT";2010;"60071"
"BELARUS";"HT";2010;"13203"
"UKRAINE";"HT";2010;"1092"
"TURKEY";"HT";2010;"23851"
"AMERICA";"HT";2010;"475560"
"- NAFTA";"HT";2010;"243345"
"CANADA";"HT";2010;"5630"
"MEXICO";"HT";2010;"91769"
"USA";"HT";2010;"145946"
"- SOUTH AMERICA";"HT";2010;"232215"
"ARGENTINA";"HT";2010;"18585"
"BRAZIL";"HT";2010;"189941"
"CHILE";"HT";2010;"4700"
"ECUADOR";"HT";2010;"13387"
"VENEZUELA";"HT";2010;"5602"
"ASIA-OCEANIA";"HT";2010;"3259997"
"AUSTRALIA";"HT";2010;"4564"
"CHINA";"HT";2010;"2259161"
"INDIA";"HT";2010;"275662"
"INDONESIA";"HT";2010;"100230"
"IRAN";"HT";2010;"32929"
"JAPAN";"HT";2010;"520672"
"MALAYSIA";"HT";2010;"4384"
"PAKISTAN";"HT";2010;"3364"
"PHILIPPINES";"HT";2010;"9497"
"SOUTH KOREA (2)";"HT";2010;"26558"
"TAIWAN";"HT";2010;"4766"
"THAILAND";"HT";2010;"16258"
"VIETNAM";"HT";2010;"1952"
"AFRICA";"HT";2010;"22679"
"Double Counts South Africa / world";"HT";2010;"-8230"
"EGYPT";"HT";2010;"9120"
"KENYA";"HT";2010;"660"
"SOUTH AFRICA";"HT";2010;"21129"
"TOTAL";"HT";2010;"4216112"
"AUSTRIA";"HT";2011;"22162"
"BELGIUM";"HT";2011;"33246"
"FINLAND";"HT";2011;"91"
"ITALY";"HT";2011;"33577"
"NETHERLANDS";"HT";2011;"30944"
"PORTUGAL";"HT";2011;"4073"
"SPAIN";"HT";2011;"54550"
"UNITED KINGDOM";"HT";2011;"15348"
"- EUROPEAN UNION New Members";"HT";2011;"5496"
"CZECH REPUBLIC";"HT";2011;"1302"
"HUNGARY";"HT";2011;"2313"
"POLAND";"HT";2011;"1816"
"ROMANIA";"HT";2011;"65"
"- OTHER EUROPE";"HT";2011;"108152"
"SERBIA";"HT";2011;"109"
"CIS";"HT";2011;"108043"
"RUSSIA";"HT";2011;"85153"
"BELARUS";"HT";2011;"21843"
"UKRAINE";"HT";2011;"1047"
"TURKEY";"HT";2011;"37396"
"AMERICA";"HT";2011;"655599"
"- NAFTA";"HT";2011;"390619"
"CANADA";"HT";2011;"9881"
"MEXICO";"HT";2011;"137691"
"USA";"HT";2011;"243047"
"- SOUTH AMERICA";"HT";2011;"264980"
"ARGENTINA";"HT";2011;"21042"
"BRAZIL";"HT";2011;"223388"
"ECUADOR";"HT";2011;"15374"
"VENEZUELA";"HT";2011;"5176"
"ASIA-OCEANIA";"HT";2011;"2985168"
"AUSTRALIA";"HT";2011;"4817"
"CHINA";"HT";2011;"1923839"
"INDIA";"HT";2011;"325775"
"INDONESIA";"HT";2011;"120522"
"IRAN";"HT";2011;"33789"
"JAPAN";"HT";2011;"512260"
"MALAYSIA";"HT";2011;"6012"
"PAKISTAN";"HT";2011;"2276"
"PHILIPPINES";"HT";2011;"8112"
"SOUTH KOREA (2)";"HT";2011;"26426"
"TAIWAN";"HT";2011;"5597"
"THAILAND";"HT";2011;"14466"
"VIETNAM";"HT";2011;"1277"
"AFRICA";"HT";2011;"25771"
"Double Counts South Africa / world";"HT";2011;"-10280"
"EGYPT";"HT";2011;"6735"
"KENYA";"HT";2011;"2945"
"SOUTH AFRICA";"HT";2011;"26371"
"TOTAL";"HT";2011;"4007500"
"AUSTRIA";"HT";2012;"19487"
"BELGIUM";"HT";2012;"33348"
"FRANCE";"HT";2012;"publication stopped"
"GERMANY";"HT";2012;"publication stopped"
"ITALY";"HT";2012;"33276"
"NETHERLANDS";"HT";2012;"29293"
"PORTUGAL";"HT";2012;"3995"
"SPAIN";"HT";2012;"46875"
"SWEDEN (1)";"HT";2012;"publication stopped"
"UNITED KINGDOM";"HT";2012;"15689"
"- EUROPEAN UNION New Members";"HT";2012;"3921"
"CZECH REPUBLIC";"HT";2012;"1499"
"HUNGARY";"HT";2012;"2400"
"ROMANIA";"HT";2012;"22"
"- OTHER EUROPE";"HT";2012;"109653"
"SERBIA";"HT";2012;"110"
"CIS";"HT";2012;"109543"
"RUSSIA";"HT";2012;"80388"
"BELARUS";"HT";2012;"28000"
"UKRAINE";"HT";2012;"1155"
"TURKEY";"HT";2012;"29129"
"AMERICA";"HT";2012;"586870"
"- NAFTA";"HT";2012;"417089"
"CANADA";"HT";2012;"9300"
"MEXICO";"HT";2012;"139845"
"USA";"HT";2012;"267944"
"- SOUTH AMERICA";"HT";2012;"169781"
"ARGENTINA";"HT";2012;"18220"
"BRAZIL";"HT";2012;"132953"
"ECUADOR";"HT";2012;"15374"
"VENEZUELA";"HT";2012;"3234"
"ASIA-OCEANIA";"HT";2012;"2816738"
"AUSTRALIA";"HT";2012;"5278"
"CHINA";"HT";2012;"1704319"
"INDIA";"HT";2012;"270519"
"INDONESIA";"HT";2012;"147010"
"IRAN";"HT";2012;"20172"
"JAPAN";"HT";2012;"583156"
"MALAYSIA";"HT";2012;"5194"
"PAKISTAN";"HT";2012;"2355"
"PHILIPPINES";"HT";2012;"8970"
"SOUTH KOREA (2)";"HT";2012;"26291"
"TAIWAN";"HT";2012;"7052"
"THAILAND";"HT";2012;"34852"
"VIETNAM";"HT";2012;"1570"
"AFRICA";"HT";2012;"24879"
"Double Counts South Africa / world";"HT";2012;"-10740"
"EGYPT";"HT";2012;"4970"
"KENYA";"HT";2012;"3080"
"SOUTH AFRICA";"HT";2012;"27569"
"TOTAL";"HT";2012;"3749158"
"AUSTRIA";"HT";2013;"19862"
"BELGIUM";"HT";2013;"37143"
"ITALY";"HT";2013;"33281"
"NETHERLANDS";"HT";2013;"28391"
"PORTUGAL";"HT";2013;"3385"
"SPAIN";"HT";2013;"23684"
"UNITED KINGDOM";"HT";2013;"16455"
"- EUROPEAN UNION New Members";"HT";2013;"3205"
"CZECH REPUBLIC";"HT";2013;"767"
"HUNGARY";"HT";2013;"2400"
"ROMANIA";"HT";2013;"38"
"- OTHER EUROPE";"HT";2013;"90965"
"SERBIA";"HT";2013;"110"
"CIS";"HT";2013;"90855"
"RUSSIA";"HT";2013;"66393"
"BELARUS";"HT";2013;"23120"
"UKRAINE";"HT";2013;"1342"
"TURKEY";"HT";2013;"30082"
"AMERICA";"HT";2013;"630107"
"- NAFTA";"HT";2013;"402106"
"CANADA";"HT";2013;"9845"
"MEXICO";"HT";2013;"141458"
"USA";"HT";2013;"250803"
"- SOUTH AMERICA";"HT";2013;"228001"
"ARGENTINA";"HT";2013;"23375"
"BRAZIL";"HT";2013;"187089"
"ECUADOR";"HT";2013;"15374"
"VENEZUELA";"HT";2013;"2163"
"ASIA-OCEANIA";"HT";2013;"2879368"
"AUSTRALIA";"HT";2013;"5388"
"CHINA";"HT";2013;"1882185"
"INDIA";"HT";2013;"182601"
"INDONESIA";"HT";2013;"136746"
"IRAN";"HT";2013;"7441"
"JAPAN";"HT";2013;"580012"
"MALAYSIA";"HT";2013;"4620"
"PAKISTAN";"HT";2013;"2137"
"PHILIPPINES";"HT";2013;"3700"
"SOUTH KOREA (1)";"HT";2013;"28265"
"TAIWAN";"HT";2013;"2911"
"THAILAND";"HT";2013;"41342"
"VIETNAM";"HT";2013;"2020"
"AFRICA";"HT";2013;"25643"
"Double Counts South Africa / world";"HT";2013;"-12055"
"EGYPT";"HT";2013;"3680"
"KENYA";"HT";2013;"3080"
"SOUTH AFRICA";"HT";2013;"30938"
"TOTAL";"HT";2013;"3818186"
"AUSTRIA";"HT";2014;"16000"
"BELGIUM";"HT";2014;"34406"
"FINLAND";"HT";2014;"35"
"ITALY";"HT";2014;"25288"
"NETHERLANDS";"HT";2014;"28389"
"PORTUGAL";"HT";2014;"2897"
"SPAIN";"HT";2014;"27539"
"UNITED KINGDOM";"HT";2014;"12610"
"- EUROPEAN UNION New Members";"HT";2014;"4363"
"CZECH REPUBLIC";"HT";2014;"821"
"HUNGARY";"HT";2014;"3530"
"ROMANIA";"HT";2014;"12"
"- OTHER EUROPE";"HT";2014;"87440"
"CIS";"HT";2014;"87440"
"RUSSIA";"HT";2014;"71051"
"AZERBAIDJAN";"HT";2014;"247"
"BELARUS";"HT";2014;"12187"
"KAZAKHSTAN";"HT";2014;"2567"
"UKRAINE";"HT";2014;"1388"
"TURKEY";"HT";2014;"29909"
"AMERICA";"HT";2014;"632379"
"- NAFTA";"HT";2014;"473293"
"CANADA";"HT";2014;"11672"
"MEXICO";"HT";2014;"172308"
"USA";"HT";2014;"289313"
"- SOUTH AMERICA";"HT";2014;"159086"
"ARGENTINA";"HT";2014;"18224"
"BRAZIL";"HT";2014;"139965"
"VENEZUELA";"HT";2014;"897"
"ASIA-OCEANIA";"HT";2014;"2864657"
"AUSTRALIA";"HT";2014;"5325"
"CHINA";"HT";2014;"1770109"
"INDIA";"HT";2014;"204578"
"INDONESIA";"HT";2014;"125610"
"IRAN";"HT";2014;"15757"
"JAPAN";"HT";2014;"604768"
"MALAYSIA";"HT";2014;"5100"
"PAKISTAN";"HT";2014;"2270"
"PHILIPPINES";"HT";2014;"10227"
"SOUTH KOREA";"HT";2014;"97727"
"TAIWAN";"HT";2014;"3713"
"THAILAND";"HT";2014;"14930"
"VIETNAM";"HT";2014;"4543"
"AFRICA";"HT";2014;"42976"
"Double Counts South Africa / World";"HT";2014;"-13500"
"EGYPT";"HT";2014;"24973"
"SOUTH AFRICA";"HT";2014;"31503"
"TOTAL";"HT";2014;"3805991"
"AUSTRIA";"HT";2015;"16500"
"BELGIUM";"HT";2015;"39302"
"FINLAND";"HT";2015;"53"
"ITALY";"HT";2015;"32954"
"NETHERLANDS";"HT";2015;"1463"
"PORTUGAL";"HT";2015;"4024"
"SPAIN";"HT";2015;"27953"
"UNITED KINGDOM";"HT";2015;"14602"
"- EUROPEAN UNION New Members";"HT";2015;"4506"
"CZECH REPUBLIC";"HT";2015;"850"
"HUNGARY";"HT";2015;"3650"
"ROMANIA";"HT";2015;"6"
"- OTHER EUROPE";"HT";2015;"61399"
"CIS";"HT";2015;"61399"
"RUSSIA";"HT";2015;"52159"
"AZERBAIDJAN";"HT";2015;"415"
"BELARUS";"HT";2015;"5769"
"KAZAKHSTAN";"HT";2015;"1655"
"UKRAINE";"HT";2015;"1401"
"TURKEY";"HT";2015;"35838"
"AMERICA";"HT";2015;"596901"
"- NAFTA";"HT";2015;"515378"
"CANADA";"HT";2015;"14478"
"MEXICO";"HT";2015;"177947"
"USA";"HT";2015;"322953"
"- SOUTH AMERICA";"HT";2015;"81523"
"ARGENTINA";"HT";2015;"6767"
"BRAZIL";"HT";2015;"74062"
"VENEZUELA";"HT";2015;"694"
"ASIA-OCEANIA";"HT";2015;"2556182"
"AUSTRALIA";"HT";2015;"5471"
"CHINA";"HT";2015;"1467217"
"INDIA";"HT";2015;"267224"
"INDONESIA";"HT";2015;"70747"
"IRAN";"HT";2015;"14159"
"JAPAN";"HT";2015;"586562"
"MALAYSIA";"HT";2015;"3460"
"PAKISTAN";"HT";2015;"4635"
"PHILIPPINES";"HT";2015;"10960"
"SOUTH KOREA";"HT";2015;"94029"
"TAIWAN";"HT";2015;"4418"
"THAILAND";"HT";2015;"22700"
"VIETNAM";"HT";2015;"4600"
"AFRICA";"HT";2015;"41373"
"Double Counts South Africa / World";"HT";2015;"-13060"
"EGYPT";"HT";2015;"24000"
"SOUTH AFRICA";"HT";2015;"30433"
"TOTAL";"HT";2015;"3429026"
"BELGIUM";"CV";2005;"0"
"FRANCE";"CV";2005;"382201"
"GERMANY";"CV";2005;"193037"
"ITALY";"CV";2005;"269749"
"PORTUGAL";"CV";2005;"78161"
"SPAIN";"CV";2005;"578989"
"UNITED KINGDOM";"CV";2005;"186948"
"- EUROPEAN UNION New Members";"CV";2005;"123967"
"CZECH REPUBLIC";"CV";2005;"1220"
"POLAND";"CV";2005;"83189"
"SLOVENIA";"CV";2005;"39558"
"- EAST AND CENTRAL EUROPE";"CV";2005;"225071"
"ROMANIA";"CV";2005;"20078"
"SERBIA";"CV";2005;"775"
"CIS";"CV";2005;"204218"
"Double Counts Ukraine / Russia";"CV";2005;"11322"
"RUSSIA";"CV";2005;"195916"
"UKRAINE";"CV";2005;"11322"
"UZBEKISTAN";"CV";2005;"8302"
"- TURKEY";"CV";2005;"376047"
"AMERICA";"CV";2005;"9608904"
"- NAFTA";"CV";2005;"9087347"
"CANADA";"CV";2005;"1267353"
"MEXICO";"CV";2005;"617016"
"UNITED STATES OF AMERICA";"CV";2005;"7202978"
"- SOUTH AMERICA";"CV";2005;"521557"
"ARGENTINA";"CV";2005;"116444"
"BRAZIL";"CV";2005;"365648"
"CHILE";"CV";2005;"6660"
"COLOMBIA";"CV";2005;"3530"
"ECUADOR";"CV";2005;"25465"
"VENEZUELA";"CV";2005;"3810"
"ASIA-OCEANIA";"CV";2005;"5030279"
"AUSTRALIA";"CV";2005;"72571"
"CHINA";"CV";2005;"1988912"
"INDIA";"CV";2005;"142101"
"INDONESIA";"CV";2005;"240336"
"IRAN";"CV";2005;"88000"
"JAPAN";"CV";2005;"1047498"
"MALAYSIA (without DC)";"CV";2005;"158837"
"PAKISTAN";"CV";2005;"22224"
"PHILIPPINES";"CV";2005;"9075"
"SOUTH KOREA";"CV";2005;"299827"
"TAIWAN";"CV";2005;"117437"
"THAILAND";"CV";2005;"831937"
"VIETNAM";"CV";2005;"11524"
"AFRICA";"CV";2005;"174790"
"Double Counts Egypt / world";"CV";2005;"8895"
"Double Counts South Africa / world";"CV";2005;"15522"
"EGYPT";"CV";2005;"14626"
"KENYA";"CV";2005;"405"
"MOROCCO";"CV";2005;"7259"
"NIGERIA";"CV";2005;"465"
"Others";"CV";2005;"2970"
"SOUTH AFRICA";"CV";2005;"172522"
"ZIMBABWE";"CV";2005;"960"
"TOTAL";"CV";2005;"17219185"
"AUSTRIA";"CV";2006;"0"
"BELGIUM";"CV";2006;"0"
"FINLAND";"CV";2006;"0"
"FRANCE";"CV";2006;"386512"
"GERMANY";"CV";2006;"202431"
"ITALY";"CV";2006;"272205"
"NETHERLANDS";"CV";2006;"0"
"PORTUGAL";"CV";2006;"78472"
"SPAIN";"CV";2006;"619444"
"SWEDEN";"CV";2006;"0"
"UNITED KINGDOM";"CV";2006;"186718"
"- EUROPEAN UNION New Members";"CV";2006;"123907"
"CZECH REPUBLIC";"CV";2006;"1077"
"HUNGARY";"CV";2006;"0"
"POLAND";"CV";2006;"76100"
"ROMANIA";"CV";2006;"11410"
"SLOVENIA";"CV";2006;"35320"
"- EAST AND CENTRAL EUROPE";"CV";2006;"229060"
"SERBIA";"CV";2006;"808"
"CIS";"CV";2006;"228252"
"Double Counts Ukraine / Russia";"CV";2006;"10700"
"RUSSIA";"CV";2006;"218252"
"BELARUS";"CV";2006;"0"
"UKRAINE";"CV";2006;"10700"
"UZBEKISTAN";"CV";2006;"10000"
"TURKEY";"CV";2006;"390790"
"AMERICA";"CV";2006;"8972764"
"- NAFTA";"CV";2006;"8401820"
"CANADA";"CV";2006;"1107831"
"MEXICO";"CV";2006;"858164"
"UNITED STATES OF AMERICA";"CV";2006;"6435825"
"- SOUTH AMERICA";"CV";2006;"570944"
"Double counts Venezuela / World";"CV";2006;"9500"
"ARGENTINA";"CV";2006;"145754"
"BRAZIL";"CV";2006;"379195"
"CHILE";"CV";2006;"6660"
"COLOMBIA";"CV";2006;"5420"
"ECUADOR";"CV";2006;"25465"
"VENEZUELA";"CV";2006;"17950"
"ASIA-OCEANIA";"CV";2006;"3840902"
"AUSTRALIA";"CV";2006;"55510"
"CHINA";"CV";2006;"1057373"
